id,name,generic,category,type,price,isAntibiotic,tags,image
1,Paracetamol 250mg,paracetamol,fever,tablet,41,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
2,Ibuprofen 500mg,ibuprofen,pain,capsule,101,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
3,Cetirizine 650mg,cetirizine,allergy,syrup,47,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
4,Omeprazole 250mg,omeprazole,acidity,tablet,40,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
5,ORS 500mg,ors,hydration,capsule,35,false,"{dehydration,diarrhea}",/medicines/ors.jpg
6,Amoxicillin 650mg,amoxicillin,infection,syrup,37,true,"{infection}",/medicines/amoxicillin.jpg
7,Azithromycin 250mg,azithromycin,infection,tablet,31,true,"{infection}",/medicines/azithromycin.jpg
8,Paracetamol 500mg,paracetamol,fever,capsule,75,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
9,Ibuprofen 650mg,ibuprofen,pain,syrup,73,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
10,Cetirizine 250mg,cetirizine,allergy,tablet,79,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
11,Omeprazole 500mg,omeprazole,acidity,capsule,73,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
12,ORS 650mg,ors,hydration,syrup,22,false,"{dehydration,diarrhea}",/medicines/ors.jpg
13,Amoxicillin 250mg,amoxicillin,infection,tablet,64,true,"{infection}",/medicines/amoxicillin.jpg
14,Azithromycin 500mg,azithromycin,infection,capsule,100,true,"{infection}",/medicines/azithromycin.jpg
15,Paracetamol 650mg,paracetamol,fever,syrup,24,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
16,Ibuprofen 250mg,ibuprofen,pain,tablet,111,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
17,Cetirizine 500mg,cetirizine,allergy,capsule,88,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
18,Omeprazole 650mg,omeprazole,acidity,syrup,117,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
19,ORS 250mg,ors,hydration,tablet,110,false,"{dehydration,diarrhea}",/medicines/ors.jpg
20,Amoxicillin 500mg,amoxicillin,infection,capsule,64,true,"{infection}",/medicines/amoxicillin.jpg
21,Azithromycin 650mg,azithromycin,infection,syrup,83,true,"{infection}",/medicines/azithromycin.jpg
22,Paracetamol 250mg,paracetamol,fever,tablet,102,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
23,Ibuprofen 500mg,ibuprofen,pain,capsule,41,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
24,Cetirizine 650mg,cetirizine,allergy,syrup,114,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
25,Omeprazole 250mg,omeprazole,acidity,tablet,100,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
26,ORS 500mg,ors,hydration,capsule,60,false,"{dehydration,diarrhea}",/medicines/ors.jpg
27,Amoxicillin 650mg,amoxicillin,infection,syrup,89,true,"{infection}",/medicines/amoxicillin.jpg
28,Azithromycin 250mg,azithromycin,infection,tablet,89,true,"{infection}",/medicines/azithromycin.jpg
29,Paracetamol 500mg,paracetamol,fever,capsule,92,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
30,Ibuprofen 650mg,ibuprofen,pain,syrup,28,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
31,Cetirizine 250mg,cetirizine,allergy,tablet,85,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
32,Omeprazole 500mg,omeprazole,acidity,capsule,35,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
33,ORS 650mg,ors,hydration,syrup,56,false,"{dehydration,diarrhea}",/medicines/ors.jpg
34,Amoxicillin 250mg,amoxicillin,infection,tablet,61,true,"{infection}",/medicines/amoxicillin.jpg
35,Azithromycin 500mg,azithromycin,infection,capsule,27,true,"{infection}",/medicines/azithromycin.jpg
36,Paracetamol 650mg,paracetamol,fever,syrup,83,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
37,Ibuprofen 250mg,ibuprofen,pain,tablet,28,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
38,Cetirizine 500mg,cetirizine,allergy,capsule,98,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
39,Omeprazole 650mg,omeprazole,acidity,syrup,70,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
40,ORS 250mg,ors,hydration,tablet,83,false,"{dehydration,diarrhea}",/medicines/ors.jpg
41,Amoxicillin 500mg,amoxicillin,infection,capsule,50,true,"{infection}",/medicines/amoxicillin.jpg
42,Azithromycin 650mg,azithromycin,infection,syrup,27,true,"{infection}",/medicines/azithromycin.jpg
43,Paracetamol 250mg,paracetamol,fever,tablet,92,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
44,Ibuprofen 500mg,ibuprofen,pain,capsule,109,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
45,Cetirizine 650mg,cetirizine,allergy,syrup,27,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
46,Omeprazole 250mg,omeprazole,acidity,tablet,91,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
47,ORS 500mg,ors,hydration,capsule,47,false,"{dehydration,diarrhea}",/medicines/ors.jpg
48,Amoxicillin 650mg,amoxicillin,infection,syrup,32,true,"{infection}",/medicines/amoxicillin.jpg
49,Azithromycin 250mg,azithromycin,infection,tablet,117,true,"{infection}",/medicines/azithromycin.jpg
50,Paracetamol 500mg,paracetamol,fever,capsule,95,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
51,Ibuprofen 650mg,ibuprofen,pain,syrup,111,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
52,Cetirizine 250mg,cetirizine,allergy,tablet,115,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
53,Omeprazole 500mg,omeprazole,acidity,capsule,104,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
54,ORS 650mg,ors,hydration,syrup,63,false,"{dehydration,diarrhea}",/medicines/ors.jpg
55,Amoxicillin 250mg,amoxicillin,infection,tablet,103,true,"{infection}",/medicines/amoxicillin.jpg
56,Azithromycin 500mg,azithromycin,infection,capsule,62,true,"{infection}",/medicines/azithromycin.jpg
57,Paracetamol 650mg,paracetamol,fever,syrup,59,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
58,Ibuprofen 250mg,ibuprofen,pain,tablet,83,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
59,Cetirizine 500mg,cetirizine,allergy,capsule,67,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
60,Omeprazole 650mg,omeprazole,acidity,syrup,43,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
61,ORS 250mg,ors,hydration,tablet,108,false,"{dehydration,diarrhea}",/medicines/ors.jpg
62,Amoxicillin 500mg,amoxicillin,infection,capsule,55,true,"{infection}",/medicines/amoxicillin.jpg
63,Azithromycin 650mg,azithromycin,infection,syrup,97,true,"{infection}",/medicines/azithromycin.jpg
64,Paracetamol 250mg,paracetamol,fever,tablet,103,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
65,Ibuprofen 500mg,ibuprofen,pain,capsule,110,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
66,Cetirizine 650mg,cetirizine,allergy,syrup,50,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
67,Omeprazole 250mg,omeprazole,acidity,tablet,111,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
68,ORS 500mg,ors,hydration,capsule,21,false,"{dehydration,diarrhea}",/medicines/ors.jpg
69,Amoxicillin 650mg,amoxicillin,infection,syrup,66,true,"{infection}",/medicines/amoxicillin.jpg
70,Azithromycin 250mg,azithromycin,infection,tablet,75,true,"{infection}",/medicines/azithromycin.jpg
71,Paracetamol 500mg,paracetamol,fever,capsule,29,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
72,Ibuprofen 650mg,ibuprofen,pain,syrup,97,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
73,Cetirizine 250mg,cetirizine,allergy,tablet,98,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
74,Omeprazole 500mg,omeprazole,acidity,capsule,72,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
75,ORS 650mg,ors,hydration,syrup,114,false,"{dehydration,diarrhea}",/medicines/ors.jpg
76,Amoxicillin 250mg,amoxicillin,infection,tablet,68,true,"{infection}",/medicines/amoxicillin.jpg
77,Azithromycin 500mg,azithromycin,infection,capsule,56,true,"{infection}",/medicines/azithromycin.jpg
78,Paracetamol 650mg,paracetamol,fever,syrup,40,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
79,Ibuprofen 250mg,ibuprofen,pain,tablet,118,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
80,Cetirizine 500mg,cetirizine,allergy,capsule,84,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
81,Omeprazole 650mg,omeprazole,acidity,syrup,75,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
82,ORS 250mg,ors,hydration,tablet,47,false,"{dehydration,diarrhea}",/medicines/ors.jpg
83,Amoxicillin 500mg,amoxicillin,infection,capsule,58,true,"{infection}",/medicines/amoxicillin.jpg
84,Azithromycin 650mg,azithromycin,infection,syrup,70,true,"{infection}",/medicines/azithromycin.jpg
85,Paracetamol 250mg,paracetamol,fever,tablet,58,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
86,Ibuprofen 500mg,ibuprofen,pain,capsule,93,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
87,Cetirizine 650mg,cetirizine,allergy,syrup,92,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
88,Omeprazole 250mg,omeprazole,acidity,tablet,72,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
89,ORS 500mg,ors,hydration,capsule,32,false,"{dehydration,diarrhea}",/medicines/ors.jpg
90,Amoxicillin 650mg,amoxicillin,infection,syrup,35,true,"{infection}",/medicines/amoxicillin.jpg
91,Azithromycin 250mg,azithromycin,infection,tablet,111,true,"{infection}",/medicines/azithromycin.jpg
92,Paracetamol 500mg,paracetamol,fever,capsule,95,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
93,Ibuprofen 650mg,ibuprofen,pain,syrup,82,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
94,Cetirizine 250mg,cetirizine,allergy,tablet,99,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
95,Omeprazole 500mg,omeprazole,acidity,capsule,102,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
96,ORS 650mg,ors,hydration,syrup,64,false,"{dehydration,diarrhea}",/medicines/ors.jpg
97,Amoxicillin 250mg,amoxicillin,infection,tablet,45,true,"{infection}",/medicines/amoxicillin.jpg
98,Azithromycin 500mg,azithromycin,infection,capsule,23,true,"{infection}",/medicines/azithromycin.jpg
99,Paracetamol 650mg,paracetamol,fever,syrup,73,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
100,Ibuprofen 250mg,ibuprofen,pain,tablet,118,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
101,Cetirizine 500mg,cetirizine,allergy,capsule,111,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
102,Omeprazole 650mg,omeprazole,acidity,syrup,82,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
103,ORS 250mg,ors,hydration,tablet,114,false,"{dehydration,diarrhea}",/medicines/ors.jpg
104,Amoxicillin 500mg,amoxicillin,infection,capsule,53,true,"{infection}",/medicines/amoxicillin.jpg
105,Azithromycin 650mg,azithromycin,infection,syrup,114,true,"{infection}",/medicines/azithromycin.jpg
106,Paracetamol 250mg,paracetamol,fever,tablet,114,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
107,Ibuprofen 500mg,ibuprofen,pain,capsule,70,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
108,Cetirizine 650mg,cetirizine,allergy,syrup,60,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
109,Omeprazole 250mg,omeprazole,acidity,tablet,111,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
110,ORS 500mg,ors,hydration,capsule,77,false,"{dehydration,diarrhea}",/medicines/ors.jpg
111,Amoxicillin 650mg,amoxicillin,infection,syrup,22,true,"{infection}",/medicines/amoxicillin.jpg
112,Azithromycin 250mg,azithromycin,infection,tablet,55,true,"{infection}",/medicines/azithromycin.jpg
113,Paracetamol 500mg,paracetamol,fever,capsule,78,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
114,Ibuprofen 650mg,ibuprofen,pain,syrup,95,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
115,Cetirizine 250mg,cetirizine,allergy,tablet,20,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
116,Omeprazole 500mg,omeprazole,acidity,capsule,88,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
117,ORS 650mg,ors,hydration,syrup,90,false,"{dehydration,diarrhea}",/medicines/ors.jpg
118,Amoxicillin 250mg,amoxicillin,infection,tablet,111,true,"{infection}",/medicines/amoxicillin.jpg
119,Azithromycin 500mg,azithromycin,infection,capsule,62,true,"{infection}",/medicines/azithromycin.jpg
120,Paracetamol 650mg,paracetamol,fever,syrup,99,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
121,Ibuprofen 250mg,ibuprofen,pain,tablet,89,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
122,Cetirizine 500mg,cetirizine,allergy,capsule,20,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
123,Omeprazole 650mg,omeprazole,acidity,syrup,45,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
124,ORS 250mg,ors,hydration,tablet,64,false,"{dehydration,diarrhea}",/medicines/ors.jpg
125,Amoxicillin 500mg,amoxicillin,infection,capsule,23,true,"{infection}",/medicines/amoxicillin.jpg
126,Azithromycin 650mg,azithromycin,infection,syrup,81,true,"{infection}",/medicines/azithromycin.jpg
127,Paracetamol 250mg,paracetamol,fever,tablet,25,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
128,Ibuprofen 500mg,ibuprofen,pain,capsule,79,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
129,Cetirizine 650mg,cetirizine,allergy,syrup,99,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
130,Omeprazole 250mg,omeprazole,acidity,tablet,32,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
131,ORS 500mg,ors,hydration,capsule,43,false,"{dehydration,diarrhea}",/medicines/ors.jpg
132,Amoxicillin 650mg,amoxicillin,infection,syrup,83,true,"{infection}",/medicines/amoxicillin.jpg
133,Azithromycin 250mg,azithromycin,infection,tablet,91,true,"{infection}",/medicines/azithromycin.jpg
134,Paracetamol 500mg,paracetamol,fever,capsule,116,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
135,Ibuprofen 650mg,ibuprofen,pain,syrup,117,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
136,Cetirizine 250mg,cetirizine,allergy,tablet,108,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
137,Omeprazole 500mg,omeprazole,acidity,capsule,85,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
138,ORS 650mg,ors,hydration,syrup,38,false,"{dehydration,diarrhea}",/medicines/ors.jpg
139,Amoxicillin 250mg,amoxicillin,infection,tablet,29,true,"{infection}",/medicines/amoxicillin.jpg
140,Azithromycin 500mg,azithromycin,infection,capsule,78,true,"{infection}",/medicines/azithromycin.jpg
141,Paracetamol 650mg,paracetamol,fever,syrup,34,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
142,Ibuprofen 250mg,ibuprofen,pain,tablet,48,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
143,Cetirizine 500mg,cetirizine,allergy,capsule,20,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
144,Omeprazole 650mg,omeprazole,acidity,syrup,96,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
145,ORS 250mg,ors,hydration,tablet,51,false,"{dehydration,diarrhea}",/medicines/ors.jpg
146,Amoxicillin 500mg,amoxicillin,infection,capsule,60,true,"{infection}",/medicines/amoxicillin.jpg
147,Azithromycin 650mg,azithromycin,infection,syrup,41,true,"{infection}",/medicines/azithromycin.jpg
148,Paracetamol 250mg,paracetamol,fever,tablet,74,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
149,Ibuprofen 500mg,ibuprofen,pain,capsule,24,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
150,Cetirizine 650mg,cetirizine,allergy,syrup,115,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
151,Omeprazole 250mg,omeprazole,acidity,tablet,49,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
152,ORS 500mg,ors,hydration,capsule,88,false,"{dehydration,diarrhea}",/medicines/ors.jpg
153,Amoxicillin 650mg,amoxicillin,infection,syrup,48,true,"{infection}",/medicines/amoxicillin.jpg
154,Azithromycin 250mg,azithromycin,infection,tablet,62,true,"{infection}",/medicines/azithromycin.jpg
155,Paracetamol 500mg,paracetamol,fever,capsule,62,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
156,Ibuprofen 650mg,ibuprofen,pain,syrup,77,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
157,Cetirizine 250mg,cetirizine,allergy,tablet,34,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
158,Omeprazole 500mg,omeprazole,acidity,capsule,34,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
159,ORS 650mg,ors,hydration,syrup,110,false,"{dehydration,diarrhea}",/medicines/ors.jpg
160,Amoxicillin 250mg,amoxicillin,infection,tablet,58,true,"{infection}",/medicines/amoxicillin.jpg
161,Azithromycin 500mg,azithromycin,infection,capsule,21,true,"{infection}",/medicines/azithromycin.jpg
162,Paracetamol 650mg,paracetamol,fever,syrup,36,false,"{fever,pain,headache}",/medicines/paracetamol.jpg
163,Ibuprofen 250mg,ibuprofen,pain,tablet,56,false,"{pain,inflammation}",/medicines/ibuprofen.jpg
164,Cetirizine 500mg,cetirizine,allergy,capsule,87,false,"{allergy,sneezing}",/medicines/cetirizine.jpg
165,Omeprazole 650mg,omeprazole,acidity,syrup,38,false,"{acidity,gas,heartburn}",/medicines/omeprazole.jpg
166,ORS 250mg,ors,hydration,tablet,59,false,"{dehydration,diarrhea}",/medicines/ors.jpg
